x,y,z,q0,q1,q2,q3,U,Fx,Fy,Fz,Tx,Ty,Tz
   -2.416667    ,   -2.250000    ,   -2.416667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -5.340272981e-31                  ,1.891346681e-29 ,1.668835307e-29 ,1.891346681e-29 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -2.250000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.381371779e-28                  ,4.892358384e-27 ,4.316786810e-27 ,4.316786810e-27 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -2.083333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.784285354e-26                  ,6.319343964e-25 ,5.575891733e-25 ,4.832439502e-25 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -1.916667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.150865714e-24                  ,4.075982738e-23 ,3.596455357e-23 ,2.637400595e-23 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -1.750000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.706735549e-23                  ,1.312802174e-21 ,1.158354859e-21 ,6.950129154e-22 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -1.583333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -5.961631994e-22                  ,2.111411331e-20 ,1.863009998e-20 ,8.694046658e-21 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -1.416667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.787902904e-21                  ,1.695715612e-19 ,1.496219657e-19 ,4.987398858e-20 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -1.250000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.920136552e-20                  ,6.800483622e-19 ,6.000426725e-19 ,1.200085345e-19 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -1.083333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.845258184e-20                  ,1.361862274e-18 ,1.201643183e-18 ,8.010954551e-20 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -0.916667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.845258184e-20                  ,1.361862274e-18 ,1.201643183e-18 ,-8.010954551e-20,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -0.750000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.920136552e-20                  ,6.800483622e-19 ,6.000426725e-19 ,-1.200085345e-19,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -0.583333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.787902904e-21                  ,1.695715612e-19 ,1.496219657e-19 ,-4.987398858e-20,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -0.416667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -5.961631999e-22                  ,2.111411333e-20 ,1.863010000e-20 ,-8.694046639e-21,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -0.250000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.706749363e-23                  ,1.312807066e-21 ,1.158359176e-21 ,-6.950085986e-22,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   -0.083333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.168708568e-24                  ,4.139176177e-23 ,3.652214274e-23 ,-2.589076200e-23,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   0.0833333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.168708568e-24                  ,4.139176177e-23 ,3.652214274e-23 ,2.589076200e-23 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   0.2500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.706749363e-23                  ,1.312807066e-21 ,1.158359176e-21 ,6.950085986e-22 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   0.4166667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -5.961631999e-22                  ,2.111411333e-20 ,1.863010000e-20 ,8.694046639e-21 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   0.5833333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.787902904e-21                  ,1.695715612e-19 ,1.496219657e-19 ,4.987398858e-20 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   0.7500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.920136552e-20                  ,6.800483622e-19 ,6.000426725e-19 ,1.200085345e-19 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   0.9166667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.845258184e-20                  ,1.361862274e-18 ,1.201643183e-18 ,8.010954551e-20 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   1.0833333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.845258184e-20                  ,1.361862274e-18 ,1.201643183e-18 ,-8.010954551e-20,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   1.2500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.920136552e-20                  ,6.800483622e-19 ,6.000426725e-19 ,-1.200085345e-19,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   1.4166667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.787902904e-21                  ,1.695715612e-19 ,1.496219657e-19 ,-4.987398858e-20,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   1.5833333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -5.961631994e-22                  ,2.111411331e-20 ,1.863009998e-20 ,-8.694046658e-21,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   1.7500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.706735549e-23                  ,1.312802174e-21 ,1.158354859e-21 ,-6.950129154e-22,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   1.9166667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.150865714e-24                  ,4.075982738e-23 ,3.596455357e-23 ,-2.637400595e-23,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   2.0833333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.784285354e-26                  ,6.319343964e-25 ,5.575891733e-25 ,-4.832439502e-25,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   2.2500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.381371779e-28                  ,4.892358384e-27 ,4.316786810e-27 ,-4.316786810e-27,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.250000    ,   2.4166667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -5.340272981e-31                  ,1.891346681e-29 ,1.668835307e-29 ,-1.891346681e-29,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -2.416667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -6.897904686e-29                  ,2.443007910e-27 ,1.868182519e-27 ,2.443007910e-27 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -2.250000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.784285354e-26                  ,6.319343964e-25 ,4.832439502e-25 ,5.575891733e-25 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -2.083333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -2.304719319e-24                  ,8.162547588e-23 ,6.241948156e-23 ,6.241948156e-23 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -1.916667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.486546106e-22                  ,5.264850791e-21 ,4.026062369e-21 ,3.406668159e-21 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -1.750000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.787902904e-21                  ,1.695715612e-19 ,1.296723703e-19 ,8.977317945e-20 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -1.583333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -7.700499472e-20                  ,2.727260230e-18 ,2.085551940e-18 ,1.122989506e-18 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -1.416667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -6.184421282e-19                  ,2.190315871e-17 ,1.674947431e-17 ,6.442105503e-18 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -1.250000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -2.480195107e-18                  ,8.784024339e-17 ,6.717195083e-17 ,1.550121942e-17 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -1.083333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.966829326e-18                  ,1.759085386e-16 ,1.345182942e-16 ,1.034756110e-17 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -0.916667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.966829326e-18                  ,1.759085386e-16 ,1.345182942e-16 ,-1.034756110e-17,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -0.750000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -2.480195107e-18                  ,8.784024339e-17 ,6.717195083e-17 ,-1.550121942e-17,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -0.583333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -6.184421282e-19                  ,2.190315871e-17 ,1.674947431e-17 ,-6.442105503e-18,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -0.416667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -7.700499479e-20                  ,2.727260232e-18 ,2.085551942e-18 ,-1.122989504e-18,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -0.250000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.787920747e-21                  ,1.695721931e-19 ,1.296728536e-19 ,-8.977262186e-20,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   -0.083333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.509593299e-22                  ,5.346476267e-21 ,4.088481851e-21 ,-3.344248677e-21,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   0.0833333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.509593299e-22                  ,5.346476267e-21 ,4.088481851e-21 ,3.344248677e-21 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   0.2500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.787920747e-21                  ,1.695721931e-19 ,1.296728536e-19 ,8.977262186e-20 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   0.4166667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -7.700499479e-20                  ,2.727260232e-18 ,2.085551942e-18 ,1.122989504e-18 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   0.5833333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -6.184421282e-19                  ,2.190315871e-17 ,1.674947431e-17 ,6.442105503e-18 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   0.7500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -2.480195107e-18                  ,8.784024339e-17 ,6.717195083e-17 ,1.550121942e-17 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   0.9166667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.966829326e-18                  ,1.759085386e-16 ,1.345182942e-16 ,1.034756110e-17 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   1.0833333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.966829326e-18                  ,1.759085386e-16 ,1.345182942e-16 ,-1.034756110e-17,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   1.2500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -2.480195107e-18                  ,8.784024339e-17 ,6.717195083e-17 ,-1.550121942e-17,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   1.4166667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -6.184421282e-19                  ,2.190315871e-17 ,1.674947431e-17 ,-6.442105503e-18,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   1.5833333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -7.700499472e-20                  ,2.727260230e-18 ,2.085551940e-18 ,-1.122989506e-18,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   1.7500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.787902904e-21                  ,1.695715612e-19 ,1.296723703e-19 ,-8.977317945e-20,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   1.9166667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.486546106e-22                  ,5.264850791e-21 ,4.026062369e-21 ,-3.406668159e-21,   0.00000000   ,   0.00000000   ,   0.00000000   
